.,^emergency,out,EMERGENCY,EMERGENCY,0,1,0,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^420\d*,out,CZE-F,Česká republika - F,1.65,1,1.65,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^4206\d*,out,CZE-M,Česká republika - M,6.65,1,6.65,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^4207\d*,out,CZE-M,Česká republika - M,6.65,1,6.65,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^32\d*,out,BEL-F,Belgie - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^359\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^3592\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35932\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35942\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35952\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35954\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35956\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^359601\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35962\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35964\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35968\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35973\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35978\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^35982\d*,out,BGR-F,Bulharsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^45\d*,out,DNK-F,Dánsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^372\d*,out,EST-F,Estonsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^358\d*,out,FIN-F,Finsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^33\d*,out,FRA-F,Francie - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^385\d*,out,HRV-F,Chorvatsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^353\d*,out,IRL-F,Irsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^39\d*,out,ITA-F,Itálie - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^357\d*,out,CYP-F,Kypr - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^370\d*,out,LTU-F,Litva - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^371\d*,out,LVA-F,Lotyšsko - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^352\d*,out,LUX-F,Lucembursko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^36\d*,out,HUN-F,Maďarsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^361\d*,out,HUN-F,Maďarsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^356\d*,out,MLT-F,Malta - F,4.98,1,4.98,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^49\d*,out,DEU-F,Německo - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
.,^31\d*,out,NLD-F,Nizozemsko - F,3.32,1,3.32,1,0,1,0,1,0,regex_longest_pattern,,0,,0,0,0
